Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:VILLAMARIADELTRIUNFO
,Departamento:LIMA,Provincia:LIMA,Distrito:VILLA,MARIADELTRIUNFO
,Latitud:12Â°9'59'',Longitud:76Â°55'12'',Altitud:292,msnm.
,Tipo:EAA,-Meteorológica,Código:112233
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2022/01/01,00:00,18.9,0.0,99.9,175.5,0.9
2022/01/01,01:00,18.8,0.0,100,6.52,0.0
2022/01/01,02:00,18.6,0.0,100,224.9,0.6
2022/01/01,03:00,18.5,0.0,100,181.5,0.4
2022/01/01,04:00,18.5,0.0,100,86.6,0.1
2022/01/01,05:00,18.5,0.0,100,180,0.4
2022/01/01,06:00,18.4,0.0,100,271.5,0.8
2022/01/01,07:00,18.6,0.0,100,209.4,0.6
2022/01/01,08:00,18.4,0.0,100,192.4,0.5
2022/01/01,09:00,19.0,0.0,100,167.3,0.7
2022/01/01,10:00,20.7,0.0,99.8,235.4,1.1
2022/01/01,11:00,22.9,0.0,84.5,258.7,1.7
2022/01/01,12:00,24.4,0.0,76.15,242.4,1.5
2022/01/01,13:00,24.6,0.0,71.44,263,2.0
2022/01/01,14:00,24.6,0.0,70.86,230.7,1.9
2022/01/01,15:00,24.9,0.0,65.52,234.4,1.7
2022/01/01,16:00,24.5,0.0,72.42,249.3,1.5
2022/01/01,17:00,22.7,0.0,78.48,285.6,1.5
2022/01/01,18:00,21.3,0.0,88.5,268.9,1.5
2022/01/01,19:00,19.7,0.0,99.8,183.2,1.1
2022/01/01,20:00,19.0,0.0,99.8,191.9,1.6
2022/01/01,21:00,18.8,0.0,99.8,197.9,1.0
2022/01/01,22:00,18.9,0.0,99.8,202.8,1.2
2022/01/01,23:00,18.8,0.0,99.9,137.6,1.1
2022/01/02,00:00,18.7,0.0,99.9,202.2,0.8
2022/01/02,01:00,19.0,0.0,99.8,246.3,0.6
2022/01/02,02:00,18.4,0.0,100,160.8,1.2
2022/01/02,03:00,18.0,0.0,100,201.3,0.8
2022/01/02,04:00,18.1,0.0,100,151.6,0.6
2022/01/02,05:00,18.2,0.0,100,97.6,0.2
2022/01/02,06:00,18.2,0.1,99.9,158.2,0.2
2022/01/02,07:00,18.6,0.0,100,189.2,0.3
2022/01/02,08:00,20.4,0.0,99.8,242,0.7
2022/01/02,09:00,21.8,0.0,93.4,249.5,1.3
2022/01/02,10:00,21.9,0.0,93.1,228.2,2.1
2022/01/02,11:00,22.3,0.0,89.1,246,1.5
2022/01/02,12:00,24.2,0.0,77.53,262,1.8
2022/01/02,13:00,23.9,0.0,76.96,222.9,2.0
2022/01/02,14:00,23.8,0.0,80.4,267.4,1.4
2022/01/02,15:00,23.4,0.0,76.18,286.4,2.3
2022/01/02,16:00,21.7,0.0,86.6,280.7,1.9
2022/01/02,17:00,22.0,0.0,84.2,262.2,1.2
2022/01/02,18:00,21.5,0.0,86.8,280.8,1.2
2022/01/02,19:00,20.7,0.0,92.5,209.5,1.0
2022/01/02,20:00,19.6,0.0,99.8,151.3,1.9
2022/01/02,21:00,19.5,0.0,99.9,160.3,1.2
2022/01/02,22:00,19.5,0.0,99.9,73.87,0.5
2022/01/02,23:00,19.4,0.0,99.9,266.8,0.8
2022/01/03,00:00,19.1,0.0,100,262.2,0.6
2022/01/03,01:00,19.2,0.0,99.9,162.8,0.6
2022/01/03,02:00,19.2,0.0,99.9,24.26,0.0
2022/01/03,03:00,19.2,0.0,99.9,206.9,0.4
2022/01/03,04:00,18.8,0.0,100,51.32,0.1
2022/01/03,05:00,18.6,0.0,100,215.5,0.4
2022/01/03,06:00,18.4,0.0,100,46.67,0.0
2022/01/03,07:00,19.1,0.0,100,208.1,0.7
2022/01/03,08:00,20.9,0.0,99.9,249.3,0.9
2022/01/03,09:00,22.3,0.0,98.7,280.8,1.3
2022/01/03,10:00,22.9,0.0,93.1,262.1,1.6
2022/01/03,11:00,22.4,0.0,94,276.6,1.6
2022/01/03,12:00,23.5,0.0,85.4,257.8,2.1
2022/01/03,13:00,24.1,0.0,74.99,225.8,2.0
2022/01/03,14:00,25.0,0.0,63.08,241.5,1.8
2022/01/03,15:00,25.5,0.0,57.96,282.3,1.7
2022/01/03,16:00,24.9,0.0,57.47,284.6,1.9
2022/01/03,17:00,24.0,0.0,68.21,271.7,1.8
2022/01/03,18:00,22.5,0.0,79.17,280.6,1.7
2022/01/03,19:00,20.5,0.0,99,273.3,1.2
2022/01/03,20:00,19.3,0.0,99.9,280.8,1.1
2022/01/03,21:00,19.5,0.0,99.9,139.2,0.8
2022/01/03,22:00,19.6,0.0,99.8,209,0.6
2022/01/03,23:00,19.4,0.0,99.9,278.1,0.7
2022/01/04,00:00,19.2,0.0,99.9,222.2,0.3
2022/01/04,01:00,18.7,0.0,99.9,229.1,0.8
2022/01/04,02:00,18.6,0.0,100,238.9,0.7
2022/01/04,03:00,18.5,0.0,100,202.6,0.6
2022/01/04,04:00,18.5,0.0,100,244.5,0.7
2022/01/04,05:00,18.5,0.0,100,168,0.4
2022/01/04,06:00,18.7,0.0,100,177.2,0.4
2022/01/04,07:00,19.4,0.0,99.9,178.9,0.4
2022/01/04,08:00,21.2,0.0,99.6,162.9,0.4
2022/01/04,09:00,22.1,0.0,91.4,221.8,1.4
2022/01/04,10:00,23.5,0.0,83.5,254.3,1.5
2022/01/04,11:00,23.6,0.0,80.1,264,1.5
2022/01/04,12:00,23.6,0.0,81.1,265,2.0
2022/01/04,13:00,24.1,0.0,76.37,233.4,1.5
2022/01/04,14:00,25.2,0.0,66.15,233.5,1.7
2022/01/04,15:00,23.0,0.0,75.93,225.9,1.4
2022/01/04,16:00,22.3,0.0,77.87,240.4,1.3
2022/01/04,17:00,22.8,0.0,75.15,203.6,0.8
2022/01/04,18:00,22.6,0.0,74.57,274.4,1.0
2022/01/04,19:00,20.9,0.0,97.4,280.4,1.3
2022/01/04,20:00,21.1,0.0,96.4,218.9,1.0
2022/01/04,21:00,19.6,0.0,99.9,158.3,1.3
2022/01/04,22:00,19.5,0.0,99.9,168.4,1.2
2022/01/04,23:00,19.2,0.0,99.9,151,0.6
2022/01/05,00:00,19.1,0.0,100,136.4,0.7
2022/01/05,01:00,19.1,0.0,99.9,173.2,0.4
2022/01/05,02:00,18.9,0.0,99.9,157.2,0.3
2022/01/05,03:00,19.0,0.0,100,108.2,0.2
2022/01/05,04:00,19.0,0.0,100,264.7,0.6
2022/01/05,05:00,19.0,0.0,100,279.4,0.7
2022/01/05,06:00,18.8,0.0,100,274.4,0.7
2022/01/05,07:00,18.5,0.0,100,240.4,0.6
2022/01/05,08:00,19.8,0.0,100,248.1,0.6
2022/01/05,09:00,22.1,0.0,97.6,276,1.5
2022/01/05,10:00,23.8,0.0,83.4,277.6,1.7
2022/01/05,11:00,23.9,0.0,79.48,276.3,2.0
2022/01/05,12:00,24.6,0.0,76.29,252.5,1.6
2022/01/05,13:00,24.9,0.0,68.72,246.8,1.5
2022/01/05,14:00,25.4,0.0,68.6,282.5,1.7
2022/01/05,15:00,22.9,0.0,78.18,267.2,1.7
2022/01/05,16:00,22.1,0.0,78.15,201.9,2.0
2022/01/05,17:00,21.8,0.0,82.9,182,2.0
2022/01/05,18:00,20.7,0.0,95.7,167.7,1.5
2022/01/05,19:00,20.0,0.0,99.8,154.6,1.9
2022/01/05,20:00,19.8,0.0,99.9,164.1,1.3
2022/01/05,21:00,19.5,0.0,99.9,196.5,1.2
2022/01/05,22:00,19.2,0.0,100,208.1,1.3
2022/01/05,23:00,19.4,0.0,99.9,130.5,0.7
2022/01/06,00:00,19.3,0.0,100,166.5,0.8
2022/01/06,01:00,19.2,0.0,99.9,149.2,1.6
2022/01/06,02:00,19.1,0.0,100,150,0.6
2022/01/06,03:00,19.0,0.1,100,208,0.7
2022/01/06,04:00,18.9,0.0,100,155.5,0.4
2022/01/06,05:00,18.7,0.0,100,98.9,0.4
2022/01/06,06:00,18.7,0.0,100,45.75,0.1
2022/01/06,07:00,18.9,0.0,100,172.3,0.4
2022/01/06,08:00,21.1,0.0,99.9,212.7,0.4
2022/01/06,09:00,22.9,0.0,94.2,252.2,1.3
2022/01/06,10:00,23.8,0.0,87.6,253,1.7
2022/01/06,11:00,25.3,0.0,77.38,274.4,1.9
2022/01/06,12:00,25.4,0.0,74.83,249.4,2.0
2022/01/06,13:00,24.3,0.0,76.89,234.8,1.9
2022/01/06,14:00,25.6,0.0,71.13,257,2.2
2022/01/06,15:00,25.0,0.0,72.97,282.6,1.8
2022/01/06,16:00,23.7,0.0,78.23,255,1.7
2022/01/06,17:00,23.8,0.0,77.26,218.5,1.1
2022/01/06,18:00,21.8,0.0,85.1,169.1,1.5
2022/01/06,19:00,20.5,0.0,97.9,181.2,1.5
2022/01/06,20:00,20.3,0.0,99.2,167.2,1.4
2022/01/06,21:00,19.8,0.0,99.9,155.8,1.3
2022/01/06,22:00,19.5,0.0,100,178.5,0.9
2022/01/06,23:00,19.3,0.0,100,180.3,0.9
2022/01/07,00:00,19.3,0.0,100,183.1,0.8
2022/01/07,01:00,19.1,0.0,100,162.6,0.8
2022/01/07,02:00,19.1,0.0,100,108.7,0.3
2022/01/07,03:00,19.0,0.0,100,236,0.5
2022/01/07,04:00,18.8,0.0,100,275.6,0.6
2022/01/07,05:00,19.0,0.0,100,128.1,0.5
2022/01/07,06:00,19.0,0.0,100,98.2,0.5
2022/01/07,07:00,19.7,0.0,100,84.5,0.2
